"","gene","cntA","cntB","med_pa_len_A","med_pa_len_B","iso_pa_pval","iso_pa_sig","iso_pa_diff"
"1681","GNL2",11,15,68,71,0.489898838516298,"False",3
"1682","GNL3",33,22,121,124.5,0.489898838516298,"False",3.5
"1683","GNPAT",12,24,124.5,67.5,0.0290952380952381,"True",57
"1686","GOLGA7",22,25,71.5,69,0.496687953054884,"False",2.5
"1688","GOLM1",6,11,81.5,141,0.0290952380952381,"True",59.5
"1692","GORASP2",8,18,84,104,0.35437073540561,"False",20
"1693","GOSR1",7,9,100,98,0.494382082152974,"False",2
"1695","GOT1",46,36,105,103,0.496687953054884,"False",2
"1696","GOT2",18,24,96,79.5,0.394579256360078,"False",16.5
"1697","GPAA1",8,7,282,79,0,"True",203
"1699","GPANK1",5,9,84,85,0.497301233721727,"False",1
"1700","GPAT4",12,26,159.5,136,0.36268390386016,"False",23.5
"1702","GPATCH4",23,7,93,38,0,"True",55
"1704","GPBP1",7,15,149,125,0.349612135176651,"False",24
"1706","GPC2",9,20,170,132.5,0.227166666666667,"False",37.5
"1708","GPI",22,9,128,108,0.380811281337047,"False",20
"1709","GPM6A",5,25,100,90,0.444795336787565,"False",10
"1710","GPM6B",9,55,129,102,0.320472914875322,"False",27
"1711","GPN1",9,7,100,67,0.203962264150944,"False",33
"1712","GPN3",25,20,86,75.5,0.45021052631579,"False",10.5
"1720","GPX1",31,48,103,102.5,0.509166666666667,"False",0.5
"1721","GPX4",48,89,123.5,114,0.464157458563536,"False",9.5
"1722","GPX8",6,11,45,131,0,"True",86
"1723","GRB10",6,6,84,136,0.0859462915601024,"False",52
"1724","GRB2",24,50,99,123.5,0.324288121314238,"False",24.5
"1726","GRHPR",10,16,153.5,99.5,0.0759530386740332,"False",54
"1730","GRPEL1",43,31,104,69,0.172459677419355,"False",35
"1732","GSK3A",5,6,134,97,0.222255291005291,"False",37
"1734","GSPT1",13,23,100,101,0.496910247592847,"False",1
"1736","GSS",13,20,145,117.5,0.324673640167364,"False",27.5
"1737","GSTA4",15,31,116,116,0.497325581395349,"False",0
"1740","GSTO1",6,12,59.5,99,0.096764705882353,"False",39.5
"1741","GSTP1",943,754,106,93,0.444795336787565,"False",13
"1742","GTF2A2",50,72,109,110.5,0.495753424657534,"False",1.5
"1743","GTF2B",10,8,90.5,127,0.188637048192771,"False",36.5
"1746","GTF2F2",12,20,122,86.5,0.178007874015748,"False",35.5
"1749","GTF2H5",8,22,134,84,0.0604950495049505,"False",50
"1755","GTF3C5",8,17,81,103,0.333634881825591,"False",22
"1756","GTF3C6",52,87,76,103,0.282420477137177,"False",27
"1758","GTPBP4",23,25,111,130,0.382134602311353,"False",19
"1759","GTPBP8",7,9,52,94,0.0706358381502891,"False",42
"1762","GUK1",10,23,97.5,77,0.352410236822002,"False",20.5
"1764","GYG1",13,16,61,74.5,0.405712974296206,"False",13.5
"1765","GYS1",17,5,135,118,0.415120588235294,"False",17
"1767","H1F0",29,77,152,166,0.45021052631579,"False",14
"1768","H1FX",25,9,158,160,0.493792184724689,"False",2
"1771","H2AFX",14,9,114,134,0.386240753194351,"False",20
"1772","H2AFY",32,64,98.5,99.5,0.49824480762683,"False",1
